theme,varname,label_in_dictionary
demographics,n_age_dv,"Age, derived from dob_dv and intdat_dv"
demographics,n_agegr5_dv,Age group (age_dv): 5 year intervals
demographics,n_englang,English is first language
demographics,n_ethn_dv,Ethnic group (derived from multiple sources)
demographics,n_gor_dv,Government Office Region
demographics,n_racel_dv,"Ethnic group incorp. all waves, codings, modes and bhps"
demographics,n_sex_dv,"Sex, derived"
demographics,n_urban_dv,"Urban or rural area, derived"
education,n_hiqual_dv,Highest qualification ever reported
education,n_isced11_dv,"Highest education qualification, short ISCED 2011"
education,n_nhiqual_dv,"Highest new qualification, UKHLS & BHPS samples"
education,n_nisced11_dv,"Newest Highest education qualification, short ISCED 2011"
education,n_nqfhigh_dv,Newly reported highest educational qualification
education,n_qfhigh_dv,Highest educational qualification
employment_history_spells,n_currstat1,empl spell no. 1: Current non-employment status
employment_history_spells,n_currstat2,empl spell no. 2: Current non-employment status
employment_history_spells,n_currstat3,empl spell no. 3: Current non-employment status
employment_history_spells,n_currstat4,empl spell no. 4: Current non-employment status
employment_history_spells,n_currstat5,empl spell no. 5: Current non-employment status
employment_history_spells,n_currstat6,empl spell no. 6: Current non-employment status
employment_history_spells,n_nextelse1,empl spell no. 1: Next non-employment status
employment_history_spells,n_nextelse2,empl spell no. 2: Next non-employment status
employment_history_spells,n_nextelse3,empl spell no. 3: Next non-employment status
employment_history_spells,n_nextelse4,empl spell no. 4: Next non-employment status
employment_history_spells,n_nextelse5,empl spell no. 5: Next non-employment status
employment_history_spells,n_nextelse6,empl spell no. 6: Next non-employment status
employment_history_spells,n_nextstat1,empl spell no. 1: Next employment status
employment_history_spells,n_nextstat2,empl spell no. 2: Next employment status
employment_history_spells,n_nextstat3,empl spell no. 3: Next employment status
employment_history_spells,n_nextstat4,empl spell no. 4: Next employment status
employment_history_spells,n_nextstat5,empl spell no. 5: Next employment status
employment_history_spells,n_nextstat6,empl spell no. 6: Next employment status
employment_history_spells,n_nmpsp_dv,No. employment spells since last interview
employment_history_spells,n_nnmpsp_dv,No. non-employment spells since last interview
